prompt_id,category,success,attempts,duration_ms
1,simple,true,1,7313
2,simple,true,1,6487
3,simple,true,1,7759
4,simple,true,1,7766
5,simple,true,1,6723
6,simple,true,1,8331
7,simple,true,1,7008
8,simple,true,1,6931
9,simple,true,1,7073
10,simple,true,1,7500
11,medium,true,2,20663
12,medium,true,1,6749
13,medium,true,1,11118
14,medium,true,1,7324
15,medium,true,2,23364
16,medium,true,1,6718
17,medium,false,3,64094
18,medium,true,2,31633
19,medium,true,2,24790
20,medium,true,1,12884
21,hard,false,3,69623
22,hard,true,1,8251
23,hard,false,3,60711
24,hard,true,2,36378
25,hard,true,1,11689
26,hard,true,2,30057
27,hard,true,1,8730
28,hard,true,2,20576
29,hard,true,2,35398
30,hard,false,3,48188
