prompt_id,category,success,resolved_by,translator_attempts,duration_ms
1,simple,true,translator,1,7313
2,simple,true,translator,1,6487
3,simple,true,translator,1,7759
4,simple,true,translator,1,7766
5,simple,true,translator,1,6723
6,simple,true,translator,1,8331
7,simple,true,translator,1,7008
8,simple,true,translator,1,6931
9,simple,true,translator,1,7073
10,simple,true,translator,1,7500
11,medium,true,translator,2,20663
12,medium,true,translator,1,6749
13,medium,true,translator,1,11118
14,medium,true,translator,1,7324
15,medium,true,translator,2,23364
16,medium,true,translator,1,6718
17,medium,true,fallback,3,76623
18,medium,true,translator,2,31633
19,medium,true,translator,2,24790
20,medium,true,translator,1,12884
21,hard,true,fallback,3,82725
22,hard,true,translator,1,8251
23,hard,true,optimizer,3,73518
24,hard,true,translator,2,36378
25,hard,true,translator,1,11689
26,hard,true,translator,2,30057
27,hard,true,translator,1,8730
28,hard,true,translator,2,20576
29,hard,true,translator,2,35398
30,hard,true,optimizer,3,61706
